run_name,sp-mean,sp-std,xp-mean,xp-std,gap
20251120-065052_txtupjex_grounded_coord_simple_avs-2-256-op,79.0,58.0,-11.0,66.0,90.0
20251120-065229_6e4kdnru_grounded_coord_simple_avs-2-256-st,137.0,71.0,-28.0,110.0,165.0
20251120-080837_pde5eo6h_demo_cook_simple_avs-2-256-sp,168.0,29.0,50.0,95.0,118.0
20251120-085343_4ikg2dkw_test_time_simple_avs-2-256-st,95.0,57.0,7.0,70.0,88.0
20251120-090142_wc7pazic_demo_cook_simple_avs-2-256-op,166.0,27.0,85.0,70.0,81.0
20251120-092704_lxcvh421_test_time_simple_avs-2-256-sp,141.0,38.0,-16.0,102.0,157.0
20251120-104220_ipwcsah4_test_time_simple_avs-2-256-sp,141.0,38.0,-16.0,102.0,157.0
20251120-110537_o3fjide7_test_time_simple_avs-2-256-op,127.0,30.0,18.0,39.0,109.0
20251121-012842_k0hq1tgt_grounded_coord_simple_avs-2-256-sp,163.0,11.0,-56.0,118.0,219.0
20251121-040307_ko8dwt00_demo_cook_wide_avs-2-256-op,197.0,15.0,65.0,74.0,132.0
20251121-040922_ii3s89wl_demo_cook_wide_avs-2-256-sp,185.0,22.0,67.0,72.0,118.0
20251121-052929_pkll1ddh_test_time_wide_avs-2-256-sp,204.0,12.0,-32.0,123.0,236.0
20251121-060742_j5mcuaiw_test_time_wide_avs-2-256-op,178.0,39.0,-9.0,60.0,187.0
20251123-065126_bp6nmar5_grounded_coord_simple_avs-2-panic-1,145.0,23.0,-78.0,113.0,223.0
20251123-080812_kmvv4ich_grounded_coord_simple_avs-2-panic-2,161.0,15.0,-33.0,138.0,194.0
20251123-092511_r5f02j17_grounded_coord_simple_avs-2-panic-3,159.0,23.0,-58.0,127.0,217.0
20251123-104158_div9xtdr_demo_cook_simple_avs-2-panic-1,149.0,28.0,86.0,60.0,63.0
20251123-115810_bbwrfpbm_demo_cook_simple_avs-2-panic-2,166.0,28.0,46.0,91.0,120.0
20251123-131346_pnec2dvl_demo_cook_simple_avs-2-panic-3,178.0,27.0,57.0,83.0,121.0
20251123-134106_zma7dqet_grounded_coord_ring_avs-2-256-op,145.0,42.0,-6.0,45.0,151.0
20251123-134505_t31pjfr9_grounded_coord_ring_avs-2-256-st,133.0,67.0,-39.0,78.0,172.0
20251123-142811_82rzusl3_test_time_simple_avs-2-panic-1,158.0,22.0,-89.0,111.0,247.0
20251123-154227_a95qa5b9_test_time_simple_avs-2-panic-2,130.0,26.0,-59.0,85.0,189.0
20251123-165718_ft3ykl8u_test_time_simple_avs-2-panic-3,153.0,26.0,47.0,126.0,106.0
20251124-041504_avniwfdw_grounded_coord_ring_avs-2-256-sp,158.0,24.0,-54.0,93.0,212.0
